0.5	0.98	0.012
1.	0.968	0.014
1.5	0.926	0.018000000000000002
2.	0.876	0.021
2.5	0.792	0.026000000000000002
3.	0.646	0.03
3.5	0.591	0.03
4.	0.483	0.031
4.5	0.373	0.03
5.	0.227	0.026000000000000002
5.5	0.161	0.022
6.	0.136	0.021
6.5	0.062	0.015
7.	0.064	0.015
7.5	0.018000000000000002	0.009000000000000001
8.	0.064	0.015
8.5	0.08600000000000001	0.018000000000000002
9.	0.136	0.021
9.5	0.228	0.026000000000000002
10.	0.28400000000000003	0.028
10.5	0.31	0.028
11.	0.509	0.031
11.5	0.5670000000000001	0.031
12.	0.668	0.029
12.5	0.774	0.026000000000000002
13.	0.793	0.026000000000000002
13.5	0.91	0.019
14.	0.9420000000000001	0.017
14.5	0.931	0.018000000000000002
15.	0.9470000000000001	0.016
15.5	0.9490000000000001	0.016
16.	0.918	0.019
16.5	0.8290000000000001	0.024
17.	0.771	0.026000000000000002
17.5	0.6950000000000001	0.029
18.	0.601	0.03
18.5	0.457	0.031
19.	0.40700000000000003	0.03
19.5	0.291	0.028
20.	0.228	0.026000000000000002
20.5	0.156	0.022
21.	0.121	0.02
21.5	0.073	0.016
22.	0.063	0.015
22.5	0.092	0.018000000000000002
23.	0.092	0.018000000000000002
23.5	0.133	0.021
24.	0.20400000000000001	0.024
24.5	0.312	0.028
25.	0.378	0.03
25.5	0.494	0.031
26.	0.614	0.03
26.5	0.639	0.03
27.	0.705	0.029
27.5	0.776	0.027
28.	0.87	0.022
28.5	0.884	0.022
29.	0.887	0.021
29.5	0.927	0.018000000000000002
30.	0.924	0.018000000000000002
30.5	0.812	0.025
31.	0.786	0.026000000000000002
31.5	0.802	0.026000000000000002
32.	0.645	0.03
32.5	0.53	0.031
33.	0.532	0.031
33.5	0.378	0.03
34.	0.332	0.029
34.5	0.20400000000000001	0.025
35.	0.153	0.022
35.5	0.108	0.019
36.	0.082	0.017
36.5	0.06	0.015
37.	0.043000000000000003	0.013000000000000001
37.5	0.131	0.021
38.	0.156	0.022
38.5	0.212	0.025
39.	0.293	0.028
39.5	0.369	0.03
40.	0.501	0.031
40.5	0.617	0.03
41.	0.594	0.03
41.5	0.734	0.028
42.	0.844	0.023
42.5	0.879	0.021
43.	0.934	0.017
43.5	0.9440000000000001	0.017
44.	0.924	0.018000000000000002
44.5	0.9470000000000001	0.016
45.	0.924	0.018000000000000002
45.5	0.8270000000000001	0.024
46.	0.724	0.028
46.5	0.6990000000000001	0.029
47.	0.553	0.031
47.5	0.47900000000000004	0.031
48.	0.323	0.029
48.5	0.254	0.027
49.	0.189	0.024
49.5	0.18	0.024
50.	0.132	0.021
50.5	0.09	0.018000000000000002
51.	0.053	0.014
51.5	0.068	0.016
52.	0.138	0.021
52.5	0.138	0.021
53.	0.23600000000000002	0.026000000000000002
53.5	0.35100000000000003	0.029
54.	0.483	0.031
54.5	0.52	0.031
55.	0.549	0.031
55.5	0.613	0.03
56.	0.737	0.028
56.5	0.795	0.026000000000000002
57.	0.884	0.021
57.5	0.906	0.019
58.	0.919	0.019
58.5	0.903	0.02
59.	0.89	0.021
59.5	0.857	0.023
60.	0.8250000000000001	0.024
60.5	0.71	0.029
61.	0.496	0.031
61.5	0.5710000000000001	0.03
62.	0.455	0.031
62.5	0.342	0.029
63.	0.23	0.026000000000000002
63.5	0.243	0.026000000000000002
64.	0.216	0.026000000000000002
64.5	0.101	0.019
65.	0.109	0.019
65.5	0.101	0.019
66.	0.061	0.015
66.5	0.131	0.021
67.	0.17400000000000002	0.023
67.5	0.23800000000000002	0.026000000000000002
68.	0.305	0.028
68.5	0.391	0.03
69.	0.486	0.031
69.5	0.534	0.031
70.	0.642	0.03
70.5	0.708	0.028
71.	0.791	0.026000000000000002
71.5	0.891	0.021
72.	0.908	0.019
72.5	0.915	0.019
73.	0.901	0.02
73.5	0.855	0.023
74.	0.8270000000000001	0.024
74.5	0.75	0.027
75.	0.739	0.027
75.5	0.716	0.028
76.	0.548	0.031
76.5	0.46	0.031
77.	0.361	0.029
77.5	0.219	0.025
78.	0.20500000000000002	0.025
78.5	0.169	0.023
79.	0.11800000000000001	0.02
79.5	0.127	0.021
80.	0.053	0.014
80.5	0.108	0.019
81.	0.122	0.02
81.5	0.17200000000000001	0.023
82.	0.271	0.027
82.5	0.435	0.03
83.	0.546	0.031
83.5	0.466	0.03
84.	0.528	0.031
84.5	0.637	0.03
85.	0.615	0.03
85.5	0.803	0.025
86.	0.888	0.021
86.5	0.92	0.019
87.	0.91	0.019
87.5	0.891	0.021
88.	0.922	0.019
88.5	0.875	0.022
89.	0.809	0.025
89.5	0.8150000000000001	0.025
90.	0.634	0.03
90.5	0.556	0.031
91.	0.558	0.031
91.5	0.353	0.029
92.	0.259	0.028
92.5	0.167	0.023
93.	0.20600000000000002	0.025
93.5	0.163	0.023
94.	0.066	0.015
94.5	0.111	0.02
95.	0.145	0.022
95.5	0.189	0.024
96.	0.3	0.028
96.5	0.322	0.029
97.	0.404	0.03
97.5	0.522	0.031
98.	0.5740000000000001	0.031
98.5	0.5720000000000001	0.03
99.	0.74	0.028
99.5	0.798	0.025
